#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
685,10,0.001,0.7,0.77,0.015,0.019,1.24010136476788,-0.753475048126808,0.849529632200869
686,10,0.001,0.7,0.77,0.015,0.019,1.24250573787866,-0.75498819767225,0.849569492118052
687,10,0.001,0.7,0.77,0.015,0.019,1.24491112913124,-0.756502353209008,0.849582988083517
688,10,0.001,0.7,0.77,0.015,0.019,1.24731706314349,-0.758018037637752,0.849621571706009
689,10,0.001,0.7,0.77,0.015,0.019,1.24972382582594,-0.75953478002244,0.849618713458672
690,10,0.001,0.7,0.77,0.015,0.019,1.25213117868126,-0.761052883302397,0.849619594323604
691,10,0.001,0.7,0.77,0.015,0.019,1.25453834228246,-0.762573012673831,0.84966195094858
692,10,0.001,0.7,0.77,0.015,0.019,1.25694610413209,-0.764094609541469,0.849717843216176
693,10,0.001,0.7,0.77,0.015,0.019,1.25935491752127,-0.765617237971147,0.849799909702494
694,10,0.001,0.7,0.77,0.015,0.019,1.26176525924455,-0.767140620494565,0.849816601392156
695,10,0.001,0.7,0.77,0.015,0.019,1.26417643294018,-0.768664966895196,0.849908547490246
696,10,0.001,0.7,0.77,0.015,0.019,1.26658886860795,-0.770190265362597,0.849953310475061
697,10,0.001,0.7,0.77,0.015,0.019,1.26900246354406,-0.771716609245667,0.849965081945777
698,10,0.001,0.7,0.77,0.015,0.019,1.27141710687065,-0.773244262194403,0.849957117478304
699,10,0.001,0.7,0.77,0.015,0.019,1.27383264573778,-0.774773243186846,0.849978169634439
700,10,0.001,0.7,0.77,0.015,0.019,1.27624908266118,-0.776303276064223,0.850038845353865
701,10,0.001,0.7,0.77,0.015,0.019,1.27866677917736,-0.777834326422547,0.85002607656981
702,10,0.001,0.7,0.77,0.015,0.019,1.28108501651255,-0.779366840087554,0.850080240147813
703,10,0.001,0.7,0.77,0.015,0.019,1.28350340132115,-0.780901176262647,0.850078570257846
704,10,0.001,0.7,0.77,0.015,0.019,1.2859232391617,-0.782436486578204,0.850221618823777
705,10,0.001,0.7,0.77,0.015,0.019,1.28834302041947,-0.783973668825531,0.850313897156608
706,10,0.001,0.7,0.77,0.015,0.019,1.29076439834751,-0.785511489482288,0.850310184642
707,10,0.001,0.7,0.77,0.015,0.019,1.29318700155208,-0.787050078306857,0.850302848058206
708,10,0.001,0.7,0.77,0.015,0.019,1.29561025538572,-0.788589951165932,0.850354171420632
709,10,0.001,0.7,0.77,0.015,0.019,1.29803417456709,-0.790131005590288,0.85033717452775
710,10,0.001,0.7,0.77,0.015,0.019,1.30045886557388,-0.791673366804457,0.850403553663967
711,10,0.001,0.7,0.77,0.015,0.019,1.30288348882072,-0.793217641531857,0.850458578485753
712,10,0.001,0.7,0.77,0.015,0.019,1.30530917357503,-0.794763086943126,0.850515845692833
713,10,0.001,0.7,0.77,0.015,0.019,1.30773625333723,-0.796309350843119,0.850527049506583
714,10,0.001,0.7,0.77,0.015,0.019,1.31016415661675,-0.797856840973355,0.850534295819058
715,10,0.001,0.7,0.77,0.015,0.019,1.31259213849395,-0.799406096744589,0.850633078896181
716,10,0.001,0.7,0.77,0.015,0.019,1.31502154358034,-0.800956151705807,0.850678905452311
717,10,0.001,0.7,0.77,0.015,0.019,1.31745141094321,-0.802507672186222,0.850741511739527
718,10,0.001,0.7,0.77,0.015,0.019,1.31988178609534,-0.804060596705167,0.850777955564704
719,10,0.001,0.7,0.77,0.015,0.019,1.32231218897956,-0.805615182161812,0.850909547105114
720,10,0.001,0.7,0.77,0.015,0.019,1.32474360161614,-0.80717099457298,0.850969300103782
721,10,0.001,0.7,0.77,0.015,0.019,1.32717600421137,-0.80872799039956,0.850989189974065
722,10,0.001,0.7,0.77,0.015,0.019,1.32960964178823,-0.810285947895271,0.851058097155039
723,10,0.001,0.7,0.77,0.015,0.019,1.33204438951695,-0.811844841005972,0.851122413226953
724,10,0.001,0.7,0.77,0.015,0.019,1.33447994514212,-0.813405135202956,0.851137323884257
725,10,0.001,0.7,0.77,0.015,0.019,1.33691547861616,-0.814967293013094,0.851128355910356
